customer_id,wellness_score,Financial Literacy Score,Aptitude for change Score,age_at_disbursement,debt_to_income_ratio,Actual_activities_count,Predicted_activities_count,Residual,True_Engagement_Level,Predicted_Engagement_Level,True_Repayment_Risk,Predicted_Repayment_Risk,Predicted_Repayment_Probability,Engagement_Score,Repayment_Risk_Score,CIS,CIS_Segment
11872,60.0,3.0,4.67,43.0,0.20166688034188035,10,8.22469687801958,1.7753031219804196,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.15022472410707485,2,1,1.4500000000000002,Segment B
11872,43.0,3.0,4.67,43.0,0.20166688034188035,11,8.725137710707722,2.274862289292278,High Engagement,Medium Engagement,Low Risk,Low Risk,0.15022472410707485,2,1,1.4500000000000002,Segment B
11872,46.0,3.0,4.67,43.0,0.20166688034188035,10,8.636824622586285,1.3631753774137145,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.15022472410707485,2,1,1.4500000000000002,Segment B
11872,50.0,3.0,4.67,43.0,0.20166688034188035,8,8.519073838424369,-0.5190738384243687,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.15022472410707485,2,1,1.4500000000000002,Segment B
11872,60.0,3.0,4.67,43.0,0.20166688034188035,8,8.22469687801958,-0.22469687801958038,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.15022472410707485,2,1,1.4500000000000002,Segment B
11872,38.0,3.0,4.67,43.0,0.20166688034188035,10,8.872326190910117,1.1276738090898828,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.15022472410707485,2,1,1.4500000000000002,Segment B
11872,50.0,3.0,4.67,43.0,0.20166688034188035,3,8.519073838424369,-5.519073838424369,Low Engagement,Medium Engagement,Low Risk,Low Risk,0.15022472410707485,2,1,1.4500000000000002,Segment B
15574,55.0,3.0,4.0,39.0,0.3534781111111111,1,8.601053999267346,-7.6010539992673465,Low Engagement,Medium Engagement,Low Risk,Low Risk,0.23371606825437427,2,1,1.4500000000000002,Segment B
15574,48.93653333333334,3.0,4.0,39.0,0.3534781111111111,9,8.779548487952257,0.2204515120477435,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.23371606825437427,2,1,1.4500000000000002,Segment B
1409,55.0,0.0,3.17,38.0,0.0,15,10.023290811351721,4.976709188648279,High Engagement,High Engagement,Low Risk,Low Risk,0.02265634693299797,3,1,1.9000000000000001,Segment B
1409,60.0,0.0,3.17,38.0,0.0,11,9.876102331149326,1.1238976688506739,High Engagement,Medium Engagement,Low Risk,Low Risk,0.02265634693299797,2,1,1.4500000000000002,Segment B
1409,57.0,0.0,3.17,38.0,0.0,14,9.964415419270763,4.035584580729237,High Engagement,Medium Engagement,Low Risk,Low Risk,0.02265634693299797,2,1,1.4500000000000002,Segment B
1409,50.0,0.0,3.17,38.0,0.0,13,10.170479291554114,2.8295207084458855,High Engagement,High Engagement,Low Risk,Low Risk,0.02265634693299797,3,1,1.9000000000000001,Segment B
1409,53.0,0.0,3.17,38.0,0.0,13,10.082166203432678,2.9178337965673222,High Engagement,High Engagement,Low Risk,Low Risk,0.02265634693299797,3,1,1.9000000000000001,Segment B
1409,57.0,0.0,3.17,38.0,0.0,2,9.964415419270763,-7.964415419270763,Low Engagement,Medium Engagement,Low Risk,Low Risk,0.02265634693299797,2,1,1.4500000000000002,Segment B
11779,76.0,2.0,4.33,59.0,0.12587234726688104,11,9.455054420169944,1.5449455798300562,High Engagement,Medium Engagement,High Risk,Low Risk,0.10966004899417361,2,1,1.4500000000000002,Segment B
11779,60.0,2.0,4.33,59.0,0.12587234726688104,1,9.926057556817607,-8.926057556817607,Low Engagement,Medium Engagement,High Risk,Low Risk,0.10966004899417361,2,1,1.4500000000000002,Segment B
11779,72.0,2.0,4.33,59.0,0.12587234726688104,1,9.57280520433186,-8.57280520433186,Low Engagement,Medium Engagement,High Risk,Low Risk,0.10966004899417361,2,1,1.4500000000000002,Segment B
15992,32.0,5.0,4.5,36.0,0.4053641479099679,3,7.79387266994973,-4.79387266994973,Low Engagement,Medium Engagement,Low Risk,Low Risk,0.09331576376604524,2,1,1.4500000000000002,Segment B
15992,29.0,5.0,4.5,36.0,0.4053641479099679,13,7.8821857580711665,5.1178142419288335,High Engagement,Medium Engagement,Low Risk,Low Risk,0.09331576376604524,2,1,1.4500000000000002,Segment B
13580,50.0,4.0,2.83,42.0,0.44147775,8,8.965913877259164,-0.9659138772591636,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.06623273036258275,2,1,1.4500000000000002,Segment B
13580,50.0,4.0,2.83,42.0,0.44147775,8,8.965913877259164,-0.9659138772591636,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.06623273036258275,2,1,1.4500000000000002,Segment B
13580,50.0,4.0,2.83,42.0,0.44147775,11,8.965913877259164,2.0340861227408364,High Engagement,Medium Engagement,Low Risk,Low Risk,0.06623273036258275,2,1,1.4500000000000002,Segment B
13580,50.0,4.0,2.83,42.0,0.44147775,9,8.965913877259164,0.034086122740836444,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.06623273036258275,2,1,1.4500000000000002,Segment B
15531,50.0,3.0,4.5,42.0,0.2780101319710515,8,8.64042353406977,-0.6404235340697699,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.448254687055222,2,1,1.4500000000000002,Segment B
1478,41.0,0.0,3.0,52.0,0.4017774030354132,10,12.132954705059026,-2.132954705059026,Medium Engagement,High Engagement,Low Risk,Low Risk,0.07068133588548467,3,1,1.9000000000000001,Segment B
1478,48.93653333333334,0.0,3.0,52.0,0.4017774030354132,16,11.899321449177231,4.100678550822769,High Engagement,High Engagement,Low Risk,Low Risk,0.07068133588548467,3,1,1.9000000000000001,Segment B
1478,43.0,0.0,3.0,52.0,0.4017774030354132,1,12.074079312978068,-11.074079312978068,Low Engagement,High Engagement,Low Risk,Low Risk,0.07068133588548467,3,1,1.9000000000000001,Segment B
1478,48.0,0.0,3.0,52.0,0.4017774030354132,11,11.926890832775674,-0.9268908327756744,High Engagement,High Engagement,Low Risk,Low Risk,0.07068133588548467,3,1,1.9000000000000001,Segment B
16961,32.0,2.0,5.0,26.0,0.3181016923076923,1,8.51802587077863,-7.518025870778629,Low Engagement,Medium Engagement,Low Risk,Low Risk,0.2199519086856792,2,1,1.4500000000000002,Segment B
16961,65.0,2.0,5.0,26.0,0.3181016923076923,1,7.546581901442824,-6.546581901442824,Low Engagement,Medium Engagement,Low Risk,Low Risk,0.2199519086856792,2,1,1.4500000000000002,Segment B
16961,36.0,2.0,5.0,26.0,0.3181016923076923,1,8.400275086616714,-7.400275086616714,Low Engagement,Medium Engagement,Low Risk,Low Risk,0.2199519086856792,2,1,1.4500000000000002,Segment B
13385,36.0,1.0,0.83,22.0,0.2599311904761905,2,10.213247775871244,-8.213247775871244,Low Engagement,High Engagement,Low Risk,Low Risk,0.1324738532809955,3,1,1.9000000000000001,Segment B
1556,32.0,0.0,3.5,31.0,0.23765080789946139,1,10.478257354561018,-9.478257354561018,Low Engagement,High Engagement,High Risk,High Risk,0.5441736777516349,3,3,3.0,Segment A
1556,38.0,0.0,3.5,31.0,0.23765080789946139,10,10.301631178318145,-0.3016311783181447,Medium Engagement,High Engagement,High Risk,High Risk,0.5441736777516349,3,3,3.0,Segment A
1916,38.0,3.0,4.0,46.0,0.3645813996316759,14,9.60569002419751,4.394309975802489,High Engagement,Medium Engagement,Low Risk,Low Risk,0.2038141481706999,2,1,1.4500000000000002,Segment B
1916,38.0,3.0,4.0,46.0,0.3645813996316759,16,9.60569002419751,6.394309975802489,High Engagement,Medium Engagement,Low Risk,Low Risk,0.2038141481706999,2,1,1.4500000000000002,Segment B
11681,36.0,5.0,4.33,38.0,0.31334093567251464,4,7.729012471344767,-3.7290124713447668,Low Engagement,Medium Engagement,Low Risk,Low Risk,0.4086429054431337,2,1,1.4500000000000002,Segment B
11681,48.93653333333334,5.0,4.33,38.0,0.31334093567251464,10,7.348190735260577,2.6518092647394234,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.4086429054431337,2,1,1.4500000000000002,Segment B
14115,50.0,4.0,2.83,49.0,0.345317,10,9.293813311223293,0.7061866887767074,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.22723674932036417,2,1,1.4500000000000002,Segment B
14115,55.0,4.0,2.83,49.0,0.345317,8,9.146624831020898,-1.1466248310208975,Medium Engagement,Medium Engagement,Low Risk,Low Risk,0.22723674932036417,2,1,1.4500000000000002,Segment B
